username,issue_level,issue,impact,pull_request,commit
rjgotten,< 10,1,0,1,1
ronny-springer,< 10,2,0,0,1
ryantenney,< 10,2,0,0,1
sheppard,< 10,1,0,0,1
thegrandpoobah,< 10,2,0,0,1
SeanHenderson,< 10,1,0,0,1
skrobinson,< 10,1,0,0,1
upisfree,< 10,1,0,0,1
shichuan,< 10,1,0,1,1
shivajivarma,< 10,1,0,0,1
Bubbi,< 10,1,0,1,1
ntwb,< 10,3,0,0,1
stevenbenner,< 10,1,0,0,1
inukshuk,< 10,1,0,1,1
tj,< 10,0,0,0,1
todorpr,< 10,1,0,0,1
grimalschi,< 10,1,0,0,1
vitaliyterziev,< 10,2,0,0,1
private-face,< 10,1,0,0,1
vlazar,< 10,1,0,0,1
wwalser,< 10,2,0,0,0
wllm-rbnt,< 10,2,0,0,1
winhowes,< 10,1,0,0,1
wonseop,< 10,1,0,1,1
xavierm02,< 10,2,0,1,1
yiminghe,< 10,6,0,0,1
mixed,< 10,1,0,0,1
razic,< 10,1,0,0,1
zackhall,< 10,1,0,0,1
avaly,< 10,1,0,0,1
tbepdb,< 10,2,20,0,1
buddh4,< 10,1,0,1,1
cmc3cn,< 10,5,0,0,1
karan-96,< 10,1,0,0,1
njhamann,< 10,2,0,0,1
temp01,< 10,1,0,0,1
tmybr11,< 10,1,0,1,1
TechQuery,< 10,4,0,1,1
